Time, Grid forming inverter (averaged).Controller.P1, Grid forming inverter (averaged)2.Controller.P1, Grid forming inverter (averaged)3.Controller.P1, Grid forming inverter (averaged).Controller.f1, Grid forming inverter (averaged)2.Controller.f1, Grid forming inverter (averaged)3.Controller.f1, measurement4.Three-phase Meter4.POWER_P, measurement5.Three-phase Meter5.POWER_P, measurement6.Three-phase Meter6.POWER_P, Timer
25.5, 18.29029655456543, -13.397116661071777, -0.0, 60.00092315673828, 60.009029388427734, 60.258056640625, -0.0004591774195432663, -0.001202968298457563, 7.350828673224896e-05, 25.553800582885742
25.75, 16.606428146362305, -11.783870697021484, 0.0, 60.00249099731445, 60.00790023803711, 60.0336799621582, 3.570871922420338e-05, -0.0005594848189502954, 0.0004061786166857928, 25.80699920654297
26.0, 4.444449424743652, -0.060850001871585846, 0.0, 60.007198333740234, 60.00387191772461, 60.01058578491211, 0.0110512375831604, 0.007311362773180008, 0.012609890662133694, 26.053600311279297
26.25, 10.717547416687012, -5.821770668029785, 0.0, 60.009544372558594, 60.00157165527344, 60.01058578491211, 0.0051244283095002174, 0.00500551238656044, 0.0048697651363909245, 26.305599212646484
26.5, 14.260705947875977, -9.097490310668945, 0.0, 60.0092887878418, 60.00176239013672, 60.01058578491211, 0.002057519042864442, 0.0027674995362758636, 0.0015203638467937708, 26.555400848388672
26.75, 16.394617080688477, -10.965457916259766, 0.0, 60.0081901550293, 60.00273132324219, 60.01058578491211, 0.0009438468841835856, 0.0016121716471388936, 0.0005286652594804764, 26.806800842285156
27.0, 17.468891143798828, -11.88817024230957, 0.0, 60.00700378417969, 60.00377655029297, 60.01058578491211, 0.0007166317664086819, 0.0012125156354159117, 0.0004335611592978239, 27.055999755859375
27.25, 34.98845291137695, -25.7076358795166, 0.0, 60.00217056274414, 60.00749588012695, 60.01058578491211, 0.005553282331675291, 0.01082390733063221, 0.0029399357736110687, 27.303199768066406
27.5, 24.667171478271484, -18.031652450561523, 0.0, 59.99918746948242, 60.00998306274414, 60.017147064208984, -0.0038239676505327225, -0.0034408587962388992, -0.0036626439541578293, 27.55500030517578
27.75, 19.615314483642578, -14.367552757263184, 0.0, 59.999847412109375, 60.009735107421875, 60.01058578491211, -0.0008666252833791077, -0.0015545747010037303, -0.00030814731144346297, 27.80459976196289
28.0, 16.95299530029297, -12.15456485748291, 0.0, 60.00156784057617, 60.008575439453125, 60.044677734375, -2.8712122002616525e-05, -0.0007372948457486928, 0.00044279632857069373, 28.05620002746582
28.25, 15.27306079864502, -11.019316673278809, 0.0, 60.00040817260742, 60.00371170043945, 60.00920104980469, 0.0004694743256550282, -2.3563845843455056e-06, 0.0007842241902835667, 28.303600311279297
28.5, 5.101024627685547, -0.5569608807563782, 0.0, 60.00551986694336, 59.99922180175781, 60.00920104980469, 0.015300366096198559, 0.012164316140115261, 0.016288843005895615, 28.55699920654297
28.75, 10.822612762451172, -6.043728351593018, 0.0, 60.007286071777344, 59.99747848510742, 60.00920104980469, 0.0062167770229279995, 0.006307917181402445, 0.005794963799417019, 28.80579948425293
29.0, 14.321112632751465, -9.257270812988281, 0.0, 60.00678634643555, 59.99790573120117, 60.00920104980469, 0.002255370607599616, 0.0029724810738116503, 0.0016876421868801117, 29.05699920654297
29.25, 16.048734664916992, -10.948486328125, 0.0, 60.005584716796875, 59.998966217041016, 60.00920104980469, 0.0013091337168589234, 0.002038264647126198, 0.0008559103589504957, 29.303800582885742
29.5, 17.421640396118164, -11.89987564086914, 0.0, 60.004295349121094, 60.00008773803711, 60.00920104980469, 0.0007556345663033426, 0.0012367710005491972, 0.00046837684931233525, 29.55579948425293
